"Latitud","Longitud","placas"
32.4803,-115.106,"Pacífico"
15.0908,-94.3605,"Caribe"
14.56,-92.47,"Caribe"
17.61,-95.3797,"Norteamérica"
17.31,-96.36,"Cocos"
15.7695,-95.1553,"Cocos"
18.4787,-101.179,"Rivera"
15.0185,-93.4583,"Caribe"
14.6682,-93.2325,"Caribe"
19.35,-103.96,"Rivera"
17.4,-94.72,"Norteamérica"
32.52,-115.29,"Pacífico"
19.03,-104.56,"Rivera"
19.74,-96.52,"Norteamérica"
30.2303,-113.865,"Norteamérica"
31.83,-116.33,"Pacífico"
32.2033,-114.903,"Pacífico"
16.2482,-93.7147,"Caribe"
31.24,-115.243,"Pacífico"
24.29,-108.84,"Norteamérica"
30.92,-115.04,"Pacífico"
16.159,-97.5827,"Cocos"
14.9272,-92.4043,"Caribe"
15.7612,-94.5967,"Cocos"
16.852,-99.3825,"Cocos"
31.1203,-114.469,"Pacífico"
15.0712,-94.2555,"Caribe"
32.1,-115.02,"Pacífico"
29.88,-113.96,"Pacífico"
15.786,-95.2163,"Cocos"
30.954,-115.023,"Pacífico"
20.1,-99,"Norteamérica"
19.13,-108.87,"Rivera"
17.4872,-94.815,"Norteamérica"
18.98,-107.59,"Rivera"
15.4913,-96.442,"Cocos"
17.9105,-98.306,"Norteamérica"
31.52,-115.02,"Pacífico"
20.1968,-99.1517,"Norteamérica"
18.87,-96.51,"Norteamérica"
17.077,-101.011,"Cocos"
27.5578,-111.608,"Pacífico"
25.4508,-99.4835,"Norteamérica"
